id,category,difficulty,question_type,question,gold_summary,gold_key_points,decision,legal_caution,requires_multi_hop,unanswerable,gold_documents,gold_quotations,claim_evidence_mapping,decision_should_identify,decision_should_warn_about,decision_should_not_claim
A01,General Consumer Law,easy,fact_retrieval,Why does EU consumer law matter to influencers who regularly advertise or sell products?,Regular commercial activity can make an influencer a trader subject to consumer-protection obligations.,regular commercial activity can trigger trader status | traders have consumer-protection responsibilities,potential,,False,False,Legal brief #1: European consumer law and influencer marketing,"A01-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]",regular commercial activity can trigger trader status -> A01-Q1,,,
A02,General Consumer Law,easy,conceptual,Does EU consumer protection apply only to large companies?,No. The materials explain that trader obligations can apply to one-person businesses as well as large companies.,one-person businesses can be traders | consumer obligations are not limited to large companies,no,,False,False,Legal brief #1: European consumer law and influencer marketing,"A02-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]",one-person businesses can be traders -> A02-Q1,,,
A03,General Consumer Law,medium,scenario_application,I am a solo creator and regularly make money from brand deals. Do consumer rules potentially apply even though I have no employees?,Yes. The Hub treats a one-person business or natural person engaged in relevant commercial activity as potentially a trader.,one-person businesses can fall within trader rules | regular monetisation is relevant,yes,,False,False,Legal brief #1: European consumer law and influencer marketing,"A03-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]",one-person businesses can fall within trader rules -> A03-Q1,,,
A04,General Consumer Law,medium,scenario_application,I advertise products but never sell anything myself. Could consumer-law duties still apply?,Yes. The Hub expressly treats advertising activity as relevant to trader obligations.,advertising alone can be commercial activity | trader duties can apply to advertisers,yes,,False,False,Legal brief #1: European consumer law and influencer marketing,"A04-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]",advertising alone can be commercial activity -> A04-Q1,,,
A05,General Consumer Law,medium,comparison,How are consumer protection and product safety connected for influencers?,Influencers who advertise or sell products should not promote dangerous or recalled products and are directed to Safety Gate.,product safety is part of the influencer compliance picture | recalled products should not be advertised or sold,check Safety Gate,,False,False,Legal brief #1: European consumer law and influencer marketing,"A05-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]",product safety is part of the influencer compliance picture -> A05-Q1,,,
A06,General Consumer Law,hard,decision_support,"Before promoting a product from a brand, what broad consumer-law checks should an influencer consider?","At minimum, consider whether the activity is commercial, whether advertising needs disclosure, whether consumer information duties apply, and whether the product is safe.",commercial/trader status | advertising disclosure | consumer information | product safety,review before publishing,,False,False,Legal brief #1: European consumer law and influencer marketing,"A06-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]",commercial/trader status -> A06-Q1,commercial relationship | disclosure | product safety,national rules may add detail,
A07,General Consumer Law,hard,scenario_application,"A creator is paid to advertise a product but says, 'I am only a content creator, so consumer law does not apply.' How should this be assessed?",The label 'content creator' does not by itself remove consumer-law obligations; the relevant issue is whether the activity is commercial and the person acts as a trader.,"legal status depends on activity, not merely the label used | commercial advertising can trigger trader obligations",potentially applicable,,False,False,Legal brief #1: European consumer law and influencer marketing,"A07-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]","legal status depends on activity, not merely the label used -> A07-Q1",,,
A08,General Consumer Law,medium,conceptual,Is the Influencer Legal Hub presented as an exhaustive statement of every law that can apply to influencers?,"No. The Hub presents selected important EU rules and explains that other national, media and self-regulatory rules can also matter.","the materials are a selection, not an exhaustive code | national rules can add requirements",no,Do not treat the Hub as a complete substitute for jurisdiction-specific legal advice.,False,False,Legal brief #1: European consumer law and influencer marketing,"A08-Q1: When you do business on a regular basis, European law will see you as a ‘trader’. [Legal brief #1: European consumer law and influencer marketing]","the materials are a selection, not an exhaustive code -> A08-Q1",,,
B09,Trader Status,easy,conceptual,What is the main EU consumer-law concept used in the Hub to determine whether influencer consumer rules apply?,The key concept is whether the influencer acts as a 'trader' in commercial practices.,trader status is central to the UCPD framework,trader status,,False,False,Legal brief #3: When is an influencer a 'trader'?,B09-Q1: European consumer law does not have a clear legal definition for influencers. [Legal brief #3: When is an influencer a 'trader'?],trader status is central to the UCPD framework -> B09-Q1,,,
B10,Trader Status,medium,fact_retrieval,What three broad elements does the Hub describe for trader status?,"The brief discusses revenue through content monetisation, commercial practices towards consumers, and acting in connection with a trade, business, craft or profession.",content monetisation/revenue | commercial practices towards consumers | professional connection,depends,,False,False,Legal brief #3: When is an influencer a 'trader'?,B10-Q1: European consumer law does not have a clear legal definition for influencers. [Legal brief #3: When is an influencer a 'trader'?],content monetisation/revenue -> B10-Q1,,,
