id,category,difficulty,question_type,question,gold_summary,gold_key_points,decision,legal_caution,requires_multi_hop,unanswerable,gold_documents,gold_quotations,claim_evidence_mapping,decision_should_identify,decision_should_warn_about,decision_should_not_claim
A01,General Consumer Law,easy,fact_retrieval,Why does EU consumer law matter to influencers who regularly advertise or sell products?,Regular commercial activity can make an influencer a trader subject to consumer-protection obligations.,regular commercial activity can trigger trader status | traders have consumer-protection responsibilities,potential,,False,False,Legal brief 2 | Legal brief 1,"af0abd28e801-legal-brief-2-chunk-3: When you monetize your content, whether you advertise goods and products on your social media channels or sell them on your personal websites, you are considered a trader by the law. [Legal brief 2] | af0abd28e801-legal-brief-1-chunk-2: In the European Union, traders have a lot of responsibilities, and it doesn't matter if you're a one person business or a big tech company - these obligations will be the same. [Legal brief 1]","regular commercial activity can trigger trader status -> af0abd28e801-legal-brief-2-chunk-3, af0abd28e801-legal-brief-1-chunk-2",,,
A02,General Consumer Law,easy,conceptual,Does EU consumer protection apply only to large companies?,No. The materials explain that trader obligations can apply to one-person businesses as well as large companies.,one-person businesses can be traders | consumer obligations are not limited to large companies,no,,False,False,Legal brief 7 | Legal brief 8,"af0abd28e801-legal-brief-7-chunk-1: This is why it is important to understand the laws that apply to selling goods as well as providing services, and highlighting some of the most important obligations that you need to keep in mind as a trader. [Legal brief 7] | af0abd28e801-legal-brief-8-chunk-33: For instance, if you are selling your merchandise on social media platforms as a trader, this obligation will apply to you as well. [Legal brief 8]","one-person businesses can be traders -> af0abd28e801-legal-brief-7-chunk-1, af0abd28e801-legal-brief-8-chunk-33",,,
A03,General Consumer Law,medium,scenario_application,I am a solo creator and regularly make money from brand deals. Do consumer rules potentially apply even though I have no employees?,Yes. The Hub treats a one-person business or natural person engaged in relevant commercial activity as potentially a trader.,one-person businesses can fall within trader rules | regular monetisation is relevant,yes,,False,False,Legal brief 3 | Legal brief 3,"af0abd28e801-legal-brief-3-chunk-8: First, to qualify as a trader, **you need to make revenue through content monetisation** - basically any activity that you earn money with online as a content creator. [Legal brief 3] | af0abd28e801-legal-brief-3-chunk-26: To summarise, if you earn money or other benefits (e.g. invitations, gifts, discounts) by creating content on social media and you do it regularly, the chances are very high that you are a trader. [Legal brief 3]","one-person businesses can fall within trader rules -> af0abd28e801-legal-brief-3-chunk-8, af0abd28e801-legal-brief-3-chunk-26",,,
A04,General Consumer Law,medium,scenario_application,I advertise products but never sell anything myself. Could consumer-law duties still apply?,Yes. The Hub expressly treats advertising activity as relevant to trader obligations.,advertising alone can be commercial activity | trader duties can apply to advertisers,yes,,False,False,Legal brief 2 | Legal brief 7,"af0abd28e801-legal-brief-2-chunk-3: When you monetize your content, whether you advertise goods and products on your social media channels or sell them on your personal websites, you are considered a trader by the law. [Legal brief 2] | af0abd28e801-legal-brief-7-chunk-1: This is why it is important to understand the laws that apply to selling goods as well as providing services, and highlighting some of the most important obligations that you need to keep in mind as a trader. [Legal brief 7]","advertising alone can be commercial activity -> af0abd28e801-legal-brief-2-chunk-3, af0abd28e801-legal-brief-7-chunk-1",,,
A05,General Consumer Law,medium,comparison,How are consumer protection and product safety connected for influencers?,Influencers who advertise or sell products should not promote dangerous or recalled products and are directed to Safety Gate.,product safety is part of the influencer compliance picture | recalled products should not be advertised or sold,check Safety Gate,,False,False,Legal brief 1 | Legal brief 2,"af0abd28e801-legal-brief-1-chunk-5: Traders may not advertise or sell dangerous or recalled products. [Legal brief 1] | af0abd28e801-legal-brief-2-chunk-3: When you monetize your content, whether you advertise goods and products on your social media channels or sell them on your personal websites, you are considered a trader by the law. [Legal brief 2]","product safety is part of the influencer compliance picture -> af0abd28e801-legal-brief-1-chunk-5, af0abd28e801-legal-brief-2-chunk-3",,,
A06,General Consumer Law,hard,decision_support,"Before promoting a product from a brand, what broad consumer-law checks should an influencer consider?","At minimum, consider whether the activity is commercial, whether advertising needs disclosure, whether consumer information duties apply, and whether the product is safe.",commercial/trader status | advertising disclosure | consumer information | product safety,review before publishing,,False,False,Legal brief 2 | Legal brief 4,"af0abd28e801-legal-brief-2-chunk-2: If you include paid product reviews, collaborate with a brand or sell your own merchandise then these laws apply to you. [Legal brief 2] | af0abd28e801-legal-brief-4-chunk-2: In the case of influencer marketing, self-regulation has led to the development of practical guidelines that sometimes even mention what hashtags need to be added for the disclosure of advertising and where. [Legal brief 4]","commercial/trader status -> af0abd28e801-legal-brief-2-chunk-2, af0abd28e801-legal-brief-4-chunk-2","commercial relationship, disclosure, product safety",national rules may add detail,
A07,General Consumer Law,hard,scenario_application,"A creator is paid to advertise a product but says, 'I am only a content creator, so consumer law does not apply.' How should this be assessed?",The label 'content creator' does not by itself remove consumer-law obligations; the relevant issue is whether the activity is commercial and the person acts as a trader.,"legal status depends on activity, not merely the label used | commercial advertising can trigger trader obligations",potentially applicable,,False,False,Legal brief 2 | Legal brief 3,"af0abd28e801-legal-brief-2-chunk-3: When you monetize your content, whether you advertise goods and products on your social media channels or sell them on your personal websites, you are considered a trader by the law. [Legal brief 2] | af0abd28e801-legal-brief-3-chunk-1: Meanwhile, we can focus on the legal standards of the main consumer law that applies to advertising - that's the Unfair Commercial Practices Directive (UCPD). [Legal brief 3]","legal status depends on activity, not merely the label used -> af0abd28e801-legal-brief-2-chunk-3, af0abd28e801-legal-brief-3-chunk-1",,,
A08,General Consumer Law,medium,conceptual,Is the Influencer Legal Hub presented as an exhaustive statement of every law that can apply to influencers?,"No. The Hub presents selected important EU rules and explains that other national, media and self-regulatory rules can also matter.","the materials are a selection, not an exhaustive code | national rules can add requirements",no,Do not treat the Hub as a complete substitute for jurisdiction-specific legal advice.,False,False,Legal brief 4 | Legal brief 2,"af0abd28e801-legal-brief-4-chunk-4: It is important to keep in mind that whenever influencer marketing leads to harms, both consumer and media administrative authorities have the powers to remedy these harms. [Legal brief 4] | af0abd28e801-legal-brief-2-chunk-3: To the contrary, there is a rich collection of mandatory legal rules at European level, which apply to you. [Legal brief 2]","the materials are a selection, not an exhaustive code -> af0abd28e801-legal-brief-4-chunk-4, af0abd28e801-legal-brief-2-chunk-3",,,
B09,Trader Status,easy,conceptual,What is the main EU consumer-law concept used in the Hub to determine whether influencer consumer rules apply?,The key concept is whether the influencer acts as a 'trader' in commercial practices.,trader status is central to the UCPD framework,trader status,,False,False,Legal brief 3 | Legal brief 2,"af0abd28e801-legal-brief-3-chunk-1: Meanwhile, we can focus on the legal standards of the main consumer law that applies to advertising - that's the Unfair Commercial Practices Directive (UCPD). [Legal brief 3] | af0abd28e801-legal-brief-2-chunk-3: In the eyes of European law, when someone (whether a person or a company) has commercial activities that occur on a regular basis and for profit, consumer protection applies. [Legal brief 2]","trader status is central to the UCPD framework -> af0abd28e801-legal-brief-3-chunk-1, af0abd28e801-legal-brief-2-chunk-3",,,
B10,Trader Status,medium,fact_retrieval,What three broad elements does the Hub describe for trader status?,"The brief discusses revenue through content monetisation, commercial practices towards consumers, and acting in connection with a trade, business, craft or profession.",content monetisation/revenue | commercial practices towards consumers | professional connection,depends,,False,False,Legal brief 3 | Legal brief 3,"af0abd28e801-legal-brief-3-chunk-5: The UCPD defines a 'trader' as 'any natural or legal person who, in commercial practices covered by this Directive, is acting for purposes relating to his trade, business, craft or profession and anyone acting in the name of or on behalf of a trader'. [Legal brief 3] | af0abd28e801-legal-brief-3-chunk-10: **You need to be acting in connection to your trade, business, craft or profession, meaning that you're acting as a professional. ** [Legal brief 3]","content monetisation/revenue -> af0abd28e801-legal-brief-3-chunk-5, af0abd28e801-legal-brief-3-chunk-10",,,
